n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.8,1,1e-05,1e-05,40,13.33,13.33,21.843388,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7415.0504,8608.9097,8894.0924,8433.0478,8479.9538,8600.5644,76.030337,66.442471,62.494912,68.640868,68.238805,67.090703
0.8,2,1e-05,1000000,40,20,1000000,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,11037.0236,14624.71974,8794.859394,10984.27746,14617.76889,8940.594283,55.29450121,2.650320703,57.36425654,54.78269906,2.00690033,56.30973566
0.8,3,1000000,1e-05,40,1000000,20,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14662.40124,8774.687693,11041.08104,14670.6798,8987.961271,10891.93073,2.889449482,57.67846613,55.60615685,1.788805191,57.00873266,55.66238809
0.8,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8733.503403,11018.01785,14643.23032,8750.995073,10866.968,14608.65609,58.05728587,55.97989488,2.766088655,58.41317625,57.05401569,1.757392771
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26289,14088.8008,14086.67981,14004.54366,13996.83571,13976.16801,2.756159839,2.776593074,2.766166433,1.776834787,2.007099658,1.776842675
0.85,1,1e-05,1e-05,40,13.33,13.33,19.715041,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7651.821,8701.9816,8960.798,8619.9077,8601.1611,8700.9778,73.631431,65.165366,61.592642,66.585909,66.781155,65.846059
0.85,2,1e-05,1000000,40,20,1000000,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,11086.49326,14611.42362,8868.837888,11036.37103,14607.72071,9035.553078,54.28042913,2.659196888,56.35316949,53.63300717,2.006944423,55.16506523
0.85,3,1000000,1e-05,40,1000000,20,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14646.28361,8849.9276,11089.98482,14662.2103,9083.357835,10942.76585,2.879570953,56.64356488,54.56920739,1.788409924,55.87558582,54.52508393
0.85,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8895.888913,11075.7774,14648.52946,8914.266377,10924.44308,14615.04925,56.5133765,54.41705476,2.766083321,56.86702659,55.49445759,1.757380978
0.85,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26179,14088.80024,14086.6791,14004.54157,13996.83012,13976.16505,2.756151809,2.776585112,2.766162873,1.776841606,2.007097279,1.776832047
0.9,1,1e-05,1e-05,40,13.33,13.33,17.586694,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7873.7534,8792.3539,9025.8599,8795.7087,8717.3967,8797.9151,71.359902,63.931298,60.715353,64.641662,65.377524,64.646042
0.9,2,1e-05,1000000,40,20,1000000,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,11134.4282,14598.72333,8941.126177,11086.88066,14597.99188,9127.31706,53.30205476,2.667776467,55.37769782,52.52899662,2.006987785,54.06590618
0.9,3,1000000,1e-05,40,1000000,20,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14630.86523,8923.488479,11137.40093,14653.92615,9175.476365,10992.18533,2.870090056,55.64510812,53.56875958,1.788137157,54.78640801,53.43188531
0.9,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9049.090236,11132.64345,14652.3403,9068.392037,10981.17289,14619.8345,55.04579434,52.9316973,2.766077985,55.39575216,54.01056539,1.757300767
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.2607,14088.79968,14086.67838,14004.53926,13996.82376,13976.16172,2.75614377,2.776577147,2.766159311,1.77685035,2.007095469,1.776820599
0.95,1,1e-05,1e-05,40,13.33,13.33,15.458347,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,8082.0664,8879.9712,9089.3361,8961.3412,8828.9195,8891.5201,69.207347,62.738936,59.862034,62.800033,64.025701,63.48824
0.95,2,1e-05,1000000,40,20,1000000,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,11180.89456,14586.5822,9011.744407,11135.86337,14588.56839,9216.021303,52.35752842,2.676075092,54.43599715,51.46798559,2.007030608,53.00958845
0.95,3,1000000,1e-05,40,1000000,20,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14616.10392,8995.385449,11183.39152,14645.82595,9264.463114,11040.22885,2.860982346,54.6812071,52.60292445,1.787979243,53.73869907,52.38028237
0.95,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9193.817071,11188.46598,14654.86758,9214.082621,11036.9848,14623.23261,53.64939934,51.51858365,2.766072634,53.99443843,52.59735594,1.757158626
0.95,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.2596,14088.79912,14086.67768,14004.53673,13996.81665,13976.15803,2.756135729,2.776569181,2.766155747,1.776861017,2.007094231,1.776808331
0.999,1,1e-05,1e-05,40,13.33,13.33,13.372567,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,8274.0634,8963.1546,9150.0572,9114.5717,8933.8787,8980.1588,67.205702,61.609521,59.048113,61.087653,62.749064,62.392395
0.999,2,1e-05,1000000,40,20,1000000,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,11225.06749,14575.19326,9079.353868,11182.43924,14579.61677,9300.108919,51.4630704,2.683947391,53.54423615,50.46752365,2.007072069,52.01358257
0.999,3,1000000,1e-05,40,1000000,20,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14602.23706,9064.249756,11227.13608,14638.06452,9348.766861,11086.01582,2.852397692,53.76841191,51.68828762,1.78792905,52.74994347,51.38782527
0.999,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9328.04768,11242.05358,14656.26882,9349.296837,11090.66528,14625.40045,52.3454373,50.19917721,2.766067392,52.68465046,51.27655147,1.756964865
