index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
132,11,12,59.84666,0.3973408,60.97648,0.3855971,59.40573,0.4021747,59.16968,0.4048243,60.74652,0.3879159,60.31217,0.3923938,59.85542,0.3972462,61.46521,0.3807829,60.91734,0.3861901
133,12,1,63.38592,0.3632393,64.68583,0.3524632,62.93096,0.3672096,62.64144,0.3697937,64.4042,0.3547299,63.95649,0.3584092,63.31071,0.3638882,65.10201,0.3491787,64.54352,0.3536041
134,12,2,63.38591,0.3632393,64.68583,0.3524632,62.93096,0.3672096,62.64144,0.3697937,64.4042,0.3547299,63.95649,0.3584092,63.31071,0.3638882,65.10202,0.3491787,64.54352,0.3536041
135,12,3,63.38591,0.3632393,64.68593,0.3524624,62.9309,0.3672102,62.64136,0.3697944,64.40428,0.3547292,63.95651,0.358409,63.311,0.3638857,65.10188,0.3491798,64.54374,0.3536023
136,12,4,63.38591,0.3632393,64.68594,0.3524624,62.93088,0.3672103,62.64135,0.3697945,64.40429,0.3547291,63.9565,0.358409,63.31103,0.3638854,65.10186,0.3491799,64.5438,0.3536018
137,12,5,63.38601,0.3632385,64.68574,0.3524639,62.93096,0.3672096,62.64154,0.3697928,64.4042,0.3547299,63.9564,0.3584099,63.31056,0.3638895,65.10231,0.3491764,64.54381,0.3536017
138,12,6,63.38602,0.3632383,64.68574,0.3524639,62.93096,0.3672096,62.64155,0.3697928,64.40421,0.3547298,63.95639,0.35841,63.31054,0.3638896,65.10232,0.3491763,64.54384,0.3536015
139,12,7,63.38585,0.3632398,64.68584,0.3524631,62.93105,0.3672089,62.64146,0.3697936,64.40413,0.3547304,63.95657,0.3584085,63.31095,0.3638861,65.10225,0.3491769,64.54337,0.3536053
140,12,8,63.38583,0.36324,64.68583,0.3524632,62.93107,0.3672087,62.64146,0.3697936,64.40411,0.3547306,63.95658,0.3584084,63.31099,0.3638857,65.10231,0.3491764,64.54335,0.3536054
141,12,9,63.386,0.3632385,64.68584,0.3524631,62.9309,0.3672102,62.64145,0.3697936,64.40428,0.3547292,63.95642,0.3584097,63.31084,0.363887,65.10217,0.3491775,64.54404,0.3535999
142,12,10,63.38585,0.3632399,64.68594,0.3524623,62.93098,0.3672094,62.64137,0.3697943,64.40422,0.3547297,63.95659,0.3584083,63.31124,0.3638836,65.10211,0.349178,64.54359,0.3536035
143,12,11,63.38595,0.363239,64.68575,0.3524639,62.93105,0.3672089,62.64155,0.3697927,64.40413,0.3547304,63.95647,0.3584093,63.31079,0.3638874,65.10254,0.3491746,64.54367,0.3536029
