index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
61,6,1,40.285,0.533872,1.0724,40.6712,0.523136,1.0709,39.9396,0.543739,1.0711,39.9241,0.544189,1.074,40.6567,0.523535,1.0713,40.3145,0.533039,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
62,6,2,40.2849,0.533873,1.0724,40.6712,0.523138,1.0709,39.9396,0.543739,1.0711,39.9241,0.544189,1.074,40.6566,0.523537,1.0713,40.3145,0.53304,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
63,6,3,40.4012,0.530608,1.0724,15.9992,3.69462,1.0726,24.5754,1.50132,1.0734,37.4897,0.621849,1.0727,32.5193,0.838664,1.0723,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
64,6,4,40.4058,0.530479,1.0724,16.2356,3.58,1.0727,24.3831,1.52596,1.0735,37.3753,0.625884,1.0727,32.6492,0.831697,1.0723,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
65,6,5,15.6535,3.87271,1.0771,24.4267,1.52032,1.0713,39.9396,0.543739,1.0711,32.0608,0.86394,1.0716,0,Inf,Inf,37.1423,0.634209,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
66,6,6,15.8291,3.7806,1.077,24.2792,1.53953,1.0714,39.9396,0.543739,1.0711,32.1556,0.858627,1.0715,0,Inf,Inf,37.0529,0.637446,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
67,6,7,24.6328,1.49408,1.0717,40.5487,0.526508,1.0709,16.0658,3.66176,1.0715,0,Inf,Inf,37.6113,0.617607,1.0711,32.6489,0.831714,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
68,6,8,24.4369,1.519,1.0717,40.5441,0.526636,1.0709,16.2954,3.55189,1.0716,0,Inf,Inf,37.4897,0.621851,1.0711,32.7697,0.825308,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
69,6,9,6.04622,44.5623,1.0833,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
70,6,10,0,Inf,Inf,6.4223,36.8125,1.0779,0,Inf,Inf,0,Inf,Inf,6.02296,45.1201,1.0798,6.05994,44.2378,1.0852,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
