index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
98,9,2,42.5094,0.445171,43.0149,0.432355,42.2216,0.452731,42.1471,0.45472,42.9418,0.434174,42.6568,0.441375,42.9033,0.435137,43.7502,0.414694,43.3406,0.424395
99,9,3,42.5094,0.445171,43.0149,0.432355,42.2216,0.452731,42.1471,0.45472,42.9418,0.434174,42.6568,0.441375,42.9033,0.435137,43.7502,0.414694,43.3406,0.424395
100,9,4,42.5094,0.445171,43.0149,0.432355,42.2216,0.452731,42.1471,0.45472,42.9418,0.434174,42.6568,0.441375,42.9033,0.435137,43.7502,0.414694,43.3406,0.424395
101,9,5,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
102,9,6,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
103,9,7,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
104,9,8,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
105,9,9,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
106,9,10,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
107,9,11,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
108,9,12,42.50945,0.4451715,43.01495,0.432355,42.22156,0.4527314,42.14705,0.4547199,42.94181,0.4341742,42.65684,0.4413753,42.90331,0.4351366,43.75022,0.4146938,43.34057,0.4243948
109,10,1,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
110,10,2,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
111,10,3,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
112,10,4,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
113,10,5,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
114,10,6,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
115,10,7,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
116,10,8,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
117,10,9,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
118,10,10,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
119,10,11,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
120,10,12,51.07296,0.2181468,51.84578,0.2143223,50.69614,0.2200519,50.56045,0.2207447,51.71311,0.2149713,51.34098,0.2168082,51.2838,0.2170926,52.47956,0.2112637,51.98782,0.2136309
121,11,1,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
122,11,2,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
123,11,3,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
124,11,4,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
125,11,5,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
126,11,6,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
127,11,7,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
128,11,8,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
129,11,9,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
130,11,10,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
131,11,11,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
132,11,12,59.84668,0.3973406,60.97649,0.3855969,59.40574,0.4021746,59.16969,0.4048242,60.74654,0.3879158,60.31218,0.3923937,59.85581,0.397242,61.46562,0.380779,60.91773,0.3861861
133,12,1,63.38596,0.3632389,64.68587,0.3524629,62.931,0.3672093,62.64148,0.3697933,64.40424,0.3547295,63.95652,0.3584089,63.31145,0.3638817,65.10279,0.3491726,64.54427,0.353598
134,12,2,63.38596,0.3632389,64.68587,0.3524629,62.931,0.3672093,62.64148,0.3697933,64.40424,0.3547295,63.95652,0.3584089,63.31145,0.3638817,65.10279,0.3491726,64.54427,0.353598
