n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.55,1,1e-05,1e-05,40,13.33,13.33,32.485124,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5937.8014,8096.316,8508.4324,7294.4507,7789.88,8041.8329,90.206598,73.489547,67.382197,80.916074,76.410592,74.082332
0.55,2,1e-05,1000000,40,20,1000000,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10520.44871,14489.72024,8365.377606,10698.05431,14673.33742,8412.973274,62.16979791,0.01080447118,62.1761658,61.32742673,2.006666905,62.82632228
0.55,3,1000000,1e-05,40,1000000,20,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14489.63883,8365.032286,10520.83574,14715.78287,8456.332009,10615.29823,0.01325986687,62.17797611,62.16799163,1.79294626,63.43681975,62.11370895
0.55,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7720.100131,10489.43254,14332.41696,7766.930332,10579.02279,14541.93913,66.01783161,66.00915314,0.01195853178,67.46909247,66.19187513,1.756140589
0.55,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.55091,13996.85232,13976.17741,0.007975647336,0.007975647532,0.00797557496,1.776829753,2.007120392,1.776883742
0.6,1,1e-05,1e-05,40,13.33,13.33,30.356777,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6269.4136,8198.4434,8582.5435,7553.6669,7939.9978,8161.4839,87.037484,71.975703,66.346165,78.157453,74.652156,72.570908
0.6,2,1e-05,1000000,40,20,1000000,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10578.25618,14471.38151,8447.250339,10758.91766,14661.45842,8526.010697,60.93971957,0.0108842763,60.94620637,59.90031863,2.006715605,61.40529999
0.6,3,1000000,1e-05,40,1000000,20,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14471.30474,8446.932515,10578.6154,14706.40352,8570.48474,10673.716,0.01315965068,60.94788631,60.93804526,1.791793599,62.03850777,60.71038039
0.6,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7939.397728,10547.59207,14349.62435,7989.477726,10635.23997,14561.19026,63.99176539,63.98319668,0.0119585099,65.45962777,64.16369056,1.756597855
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.54988,13996.85051,13976.17625,0.007975625077,0.007975625309,0.007975565207,1.776826857,2.007115024,1.776877108
0.65,1,1e-05,1e-05,40,13.33,13.33,28.228429,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6577.9022,8299.5635,8654.678,7795.7256,8083.8019,8277.1024,84.04651,70.50871,65.341112,75.562648,72.957421,71.119496
0.65,2,1e-05,1000000,40,20,1000000,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10634.17966,14453.92032,8527.476343,10817.91826,14649.97923,8635.15209,59.75725952,0.01096164248,59.7638606,58.53620376,2.006763216,60.04702469
0.65,3,1000000,1e-05,40,1000000,20,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14453.84815,8527.18446,10634.51211,14697.19921,8680.559172,10730.56424,0.01306406587,59.76541473,59.75571157,1.790814944,60.70013348,59.3671887
0.65,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8144.749214,10606.56434,14363.6925,8198.043036,10692.68426,14577.04371,62.07642501,62.06796088,0.01195848799,63.55627875,62.24290308,1.756941014
0.65,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.54865,13996.84795,13976.17473,0.007975602818,0.007975603085,0.007975555454,1.776825923,2.007110283,1.776869696
0.7,1,1e-05,1e-05,40,13.33,13.33,26.100082,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6865.2773,8399.0234,8724.9226,8022.1057,8221.5483,8388.7531,81.222652,69.088773,64.365687,73.119128,71.324864,69.72449
0.7,2,1e-05,1000000,40,20,1000000,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10688.30084,14437.27782,8606.023378,10875.10819,14638.88233,8740.53539,58.61971079,0.01103665843,58.6264218,57.2310031,2.00680982,58.74743562
0.7,3,1000000,1e-05,40,1000000,20,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14437.21033,8605.756204,10688.60751,14688.17536,8786.721016,10785.86382,0.01297282245,58.62785468,58.61828417,1.789997969,59.41796015,58.08038224
0.7,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8337.324835,10665.80219,14375.06715,8393.795538,10750.75448,14589.97716,60.26386595,60.25550151,0.01195846604,61.75181445,60.4221592,1.757181339
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.5472,13996.84463,13976.17285,0.007975580559,0.007975580862,0.007975545701,1.776826939,2.007106151,1.776861493
0.75,1,1e-05,1e-05,40,13.33,13.33,23.971735,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7133.3633,8496.3648,8793.357,8234.1439,8353.5073,8496.5339,78.555268,67.715553,63.418615,70.815386,69.752663,68.382575
0.75,2,1e-05,1000000,40,20,1000000,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10740.69766,14421.40051,8682.874722,10930.54237,14628.15087,8842.302008,57.52456798,0.01110941104,57.53138479,55.98097859,2.006855526,57.50281134
0.75,3,1000000,1e-05,40,1000000,20,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14421.33764,8682.631065,10740.9794,14679.335,8889.134575,10839.64199,0.0128856532,57.53270156,57.52325877,1.789331472,58.188549,56.8465086
0.75,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8518.183129,10724.87729,14384.12754,8577.79363,10808.97415,14600.39837,58.54677699,58.53850762,0.01195844408,60.03952036,58.6946357,1.757328921
0.75,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.54554,13996.84055,13976.17061,0.0079755583,0.007975558639,0.007975535948,1.776829896,2.007102613,1.776852489
0.8,1,1e-05,1e-05,40,13.33,13.33,21.843388,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7383.8135,8591.2775,8860.0545,8433.0478,8479.9538,8600.5644,76.034195,66.388308,62.49869,68.640868,68.238805,67.090703
0.8,2,1e-05,1000000,40,20,1000000,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10791.44442,14406.23896,8758.025748,10984.27746,14617.76889,8940.594283,56.46950773,0.01117998513,56.47642645,54.78269906,2.00690033,56.30973566
0.8,3,1000000,1e-05,40,1000000,20,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14406.18079,8757.80441,10791.70221,14670.6798,8987.961271,10891.93073,0.01280231144,56.47763071,56.46831097,1.788805191,57.00873266,55.66238809
0.8,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8688.281041,10783.45704,14391.1975,8750.995073,10866.968,14608.65609,56.91843479,56.91025616,0.01195842216,58.41317625,57.05401569,1.757392771
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.54366,13996.83571,13976.16801,0.007975536041,0.007975536417,0.007975526196,1.776834787,2.007099658,1.776842675
0.85,1,1e-05,1e-05,40,13.33,13.33,19.715041,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7618.1239,8683.5648,8925.0831,8619.9077,8601.1611,8700.9778,73.649806,65.106004,61.604778,66.585909,66.781155,65.846059
0.85,2,1e-05,1000000,40,20,1000000,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10840.6119,14391.74808,8831.481852,11036.37103,14607.72071,9035.553078,55.45237377,0.01124846313,55.45939072,53.63300717,2.006944423,55.16506523
0.85,3,1000000,1e-05,40,1000000,20,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14391.69447,8831.281743,10840.8465,14662.2103,9083.357835,10942.76585,0.012722569,55.4604869,55.45128579,1.788409924,55.87558582,54.52508393
0.85,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8848.483836,10841.28574,14396.55357,8914.266377,10924.44308,14615.04925,55.37266143,55.36456943,0.01195840024,56.86702659,55.49445759,1.757380978
0.85,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.54157,13996.83012,13976.16505,0.007975513782,0.007975514194,0.007975516443,1.776841606,2.007097279,1.776832047
0.9,1,1e-05,1e-05,40,13.33,13.33,17.586694,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7837.6478,8773.1141,8988.5062,8795.7087,8717.3967,8797.9151,71.39304,63.867402,60.735801,64.641662,65.377524,64.646042
0.9,2,1e-05,1000000,40,20,1000000,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10888.26743,14377.88618,8903.256316,11086.88066,14597.99188,9127.31706,54.47116097,0.0113149248,54.47827266,52.52899662,2.006987785,54.06590618
